Vehicle_ID_Event,Event_Index,Start_Frame,End_Frame,From_Lane,To_Lane,Vehicle_ID,Frame_ID,Local_X_RT,Local_Y_RT,Local_X_RB,Local_Y_RB,Local_X_LB,Local_Y_LB,Local_X_LT,Local_Y_LT,Local_X,Local_Y,V_Class,V_Direction,Speed_X,Speed_Y,V_Length,V_Width,V_Heading,Smooth_X,Smooth_Y,Lane_ID
27,1,66,107,2,1,27,66,3647,229,3641,209,3592,224,3599,244,3620.2,22.661,1,1,3.6071,-1.2143,5.2,2.1,-17.187,3620.38,226.564,2
27,1,66,107,2,1,27,67,3652,228,3645,208,3596,223,3602,244,3623.9,22.538999999999998,1,1,3.7143,-1.2143,5.2,2.1,-17.383,3623.94,225.386,2
27,1,66,107,2,1,27,68,3656,226,3649,206,3599,222,3605,242,3627.6,22.418,1,1,3.6429,-1.1786,5.2,2.1,-17.581,3627.58,224.208,2
27,1,66,107,2,1,27,69,3659,225,3653,205,3603,221,3609,241,3631.2,22.3,1,1,3.7857,-1.1429,5.2,2.1,-17.745,3631.3,223.008,2
27,1,66,107,2,1,27,70,3664,223,3657,204,3607,220,3613,240,3635.0,22.186,1,1,3.8214,-1.25,5.2,2.1,-18.09,3635.06,221.808,2
27,1,66,107,2,1,27,71,3667,223,3661,203,3611,218,3617,238,3638.8,22.061,1,1,3.9286,-1.2143,5.2,2.1,-16.699,3638.88,220.608,2
27,1,66,107,2,1,27,72,3671,221,3664,201,3614,218,3621,238,3642.7,21.939,1,1,3.9643,-1.2143,5.2,2.1,-18.778,3642.78,219.394,2
27,1,66,107,2,1,27,73,3674,221,3668,201,3618,216,3625,236,3646.7,21.818,1,1,4.0357,-1.25,5.2,2.1,-16.86,3646.72,218.158,1
27,1,66,107,2,1,27,74,3679,219,3672,199,3622,215,3629,235,3650.7,21.693,1,1,3.9643,-1.25,5.2,2.1,-17.745,3650.7399999999993,216.9,1
27,1,66,107,2,1,27,75,3683,218,3677,198,3626,213,3633,233,3654.7,21.568,1,1,4.2143,-1.3571,5.2,2.1,-16.544,3654.82,215.63,1
27,1,66,107,2,1,27,76,3687,217,3680,196,3631,212,3637,233,3658.9,21.432,1,1,4.2143,-1.2857,5.2,2.1,-17.914,3658.96,214.33,1
27,1,66,107,2,1,27,77,3691,215,3685,195,3636,211,3642,231,3663.1,21.304,1,1,4.2143,-1.3571,5.2,2.1,-18.083,3663.14,213.008,1
27,1,66,107,2,1,27,78,3695,214,3689,193,3638,210,3645,230,3667.4,21.168,1,1,4.2857,-1.3571,5.2,2.1,-18.09,3667.4,211.65,1
27,1,66,107,2,1,27,79,3700,212,3694,192,3644,208,3650,228,3671.6,21.032,1,1,4.3571,-1.4286,5.2,2.1,-17.745,3671.66,210.286,1
27,1,66,107,2,1,27,80,3704,211,3697,191,3648,208,3654,228,3676.0,20.889,1,1,4.2143,-1.3929,5.2,2.1,-18.956,3675.96,208.886,1
