Vehicle_ID,Frame_ID,Local_X_RT,Local_Y_RT,Local_X_RB,Local_Y_RB,Local_X_LB,Local_Y_LB,Local_X_LT,Local_Y_LT,Local_X,Local_Y,V_Class,V_Direction,Speed_X,Speed_Y,V_Length,V_Width,V_Heading,Lane_ID,Event_Index,Vehicle_ID_Event,Start_Frame,End_Frame,Lane_Change_Frame,From_Lane,To_Lane,Lane_Path,Window_Start_Frame,Window_End_Frame,Time_Offset
101,441,47,350,48,330,0,328,0,348,21.933,339.33,1,1,19.233,0.0,4.8,2.0,2.4113,3,1,101,452,527,454,3,2,3->2,404,504,-1.3
101,442,67,350,67,330,13,328,12,348,41.167,339.33,1,1,19.233,0.66667,4.8,2.0,2.1018,3,1,101,452,527,454,3,2,3->2,404,504,-1.2
101,443,86,351,87,331,34,329,33,349,60.4,340.0,1,1,19.779,0.75,4.8,2.0,2.1611,3,1,101,452,527,454,3,2,3->2,404,504,-1.1
101,444,105,352,106,331,53,329,52,350,80.179,340.75,1,1,19.679,0.78571,4.8,2.0,2.1611,3,1,101,452,527,454,3,2,3->2,404,504,-1.0
101,445,125,353,126,332,74,330,73,351,99.857,341.54,1,1,20.036,0.92857,4.8,2.0,2.2026,3,1,101,452,527,454,3,2,3->2,404,504,-0.9
101,446,145,353,146,333,93,331,93,351,119.89,342.46,1,1,20.0,0.92857,4.8,2.0,2.1818,3,1,101,452,527,454,3,2,3->2,404,504,-0.8
101,447,166,355,167,334,114,332,113,352,139.89,343.39,1,1,19.929,0.92857,4.8,2.0,2.7004,3,1,101,452,527,454,3,2,3->2,404,504,-0.7
101,448,187,356,188,335,136,333,135,354,159.82,344.32,1,1,19.929,1.0,4.8,2.0,2.2026,3,1,101,452,527,454,3,2,3->2,404,504,-0.6
101,449,206,357,207,336,154,334,153,355,179.75,345.32,1,1,19.893,1.0357,4.8,2.0,2.1611,3,1,101,452,527,454,3,2,3->2,404,504,-0.5
101,450,226,358,227,337,174,335,173,356,199.64,346.36,1,1,20.071,1.0357,4.8,2.0,2.1611,3,1,101,452,527,454,3,2,3->2,404,504,-0.4
101,451,244,358,245,338,193,336,192,356,219.71,347.39,1,1,19.75,1.0357,4.8,2.0,2.2026,3,1,101,452,527,454,3,2,3->2,404,504,-0.3
101,452,265,360,265,339,213,337,213,358,239.46,348.43,1,1,19.964,1.0,4.8,2.0,2.2026,3,1,101,452,527,454,3,2,3->2,404,504,-0.2
101,453,284,360,285,340,233,338,232,359,259.43,349.43,1,1,20.036,1.0,4.8,2.0,1.6522,3,1,101,452,527,454,3,2,3->2,404,504,-0.1
101,454,306,362,307,341,255,339,254,360,279.46,350.43,1,1,20.214,1.0714,4.8,2.0,2.2026,2,1,101,452,527,454,3,2,3->2,404,504,0.0
101,455,326,363,326,342,274,341,273,361,299.68,351.5,1,1,20.143,0.96429,4.8,2.0,1.6314,2,1,101,452,527,454,3,2,3->2,404,504,0.1
101,456,345,364,346,343,294,341,294,362,319.82,352.46,1,1,20.25,0.96429,4.8,2.0,2.2242,2,1,101,452,527,454,3,2,3->2,404,504,0.2
101,457,366,365,367,344,314,342,314,363,340.07,353.43,1,1,20.0,0.85714,4.8,2.0,2.1818,2,1,101,452,527,454,3,2,3->2,404,504,0.3
101,458,386,366,387,345,334,343,333,364,360.07,354.29,1,1,20.179,0.96429,4.8,2.0,2.1611,2,1,101,452,527,454,3,2,3->2,404,504,0.4
101,459,405,367,406,346,355,344,354,364,380.25,355.25,1,1,20.107,0.96429,4.8,2.0,2.8061,2,1,101,452,527,454,3,2,3->2,404,504,0.5
101,460,426,367,427,347,374,345,374,365,400.36,356.21,1,1,20.143,0.96429,4.8,2.0,2.1818,2,1,101,452,527,454,3,2,3->2,404,504,0.6
101,461,446,368,447,347,395,345,394,366,420.5,357.18,1,1,20.214,0.92857,4.8,2.0,2.2026,2,1,101,452,527,454,3,2,3->2,404,504,0.7
101,462,467,369,467,349,415,348,415,368,440.71,358.11,1,1,20.25,0.89286,4.8,2.0,1.1017,2,1,101,452,527,454,3,2,3->2,404,504,0.8
101,463,486,370,487,350,435,348,434,369,460.96,359.0,1,1,20.25,1.0,4.8,2.0,1.6522,2,1,101,452,527,454,3,2,3->2,404,504,0.9
101,464,507,371,508,351,455,349,455,370,481.21,360.0,1,1,20.143,1.0357,4.8,2.0,1.6314,2,1,101,452,527,454,3,2,3->2,404,504,1.0
101,465,527,372,527,351,476,350,476,371,501.36,361.04,1,1,20.179,0.85714,4.8,2.0,1.1233,2,1,101,452,527,454,3,2,3->2,404,504,1.1
101,466,547,372,548,352,496,351,496,371,521.54,361.89,1,1,20.214,0.89286,4.8,2.0,1.1125,2,1,101,452,527,454,3,2,3->2,404,504,1.2
101,467,568,374,568,353,516,352,516,373,541.75,362.79,1,1,20.214,0.82143,4.8,2.0,1.1017,2,1,101,452,527,454,3,2,3->2,404,504,1.3
101,468,587,375,587,354,536,353,536,373,561.96,363.61,1,1,20.071,0.85714,4.8,2.0,1.6845,2,1,101,452,527,454,3,2,3->2,404,504,1.4
101,469,607,375,608,355,557,354,557,374,582.04,364.46,1,1,20.071,0.92857,4.8,2.0,1.1345,2,1,101,452,527,454,3,2,3->2,404,504,1.5
101,470,627,376,628,356,577,355,576,375,602.11,365.39,1,1,20.0,0.75,4.8,2.0,1.1233,2,1,101,452,527,454,3,2,3->2,404,504,1.6
101,471,648,377,649,357,597,355,597,375,622.11,366.14,1,1,20.214,0.71429,4.8,2.0,2.2242,2,1,101,452,527,454,3,2,3->2,404,504,1.7
101,472,667,378,668,358,617,356,616,376,642.32,366.86,1,1,20.071,0.64286,4.8,2.0,2.2457,2,1,101,452,527,454,3,2,3->2,404,504,1.8
101,473,687,379,688,358,637,357,637,378,662.39,367.5,1,1,20.071,0.64286,4.8,2.0,1.1345,2,1,101,452,527,454,3,2,3->2,404,504,1.9
101,474,707,379,708,359,657,357,656,378,682.46,368.14,1,1,20.107,0.60714,4.8,2.0,1.6845,2,1,101,452,527,454,3,2,3->2,404,504,2.0
101,475,728,379,728,359,678,358,678,379,702.57,368.75,1,1,20.143,0.53571,4.8,2.0,0.57288,2,1,101,452,527,454,3,2,3->2,404,504,2.1
101,476,747,380,748,360,698,358,698,378,722.71,369.29,1,1,20.25,0.42857,4.8,2.0,2.314,2,1,101,452,527,454,3,2,3->2,404,504,2.2
101,477,768,381,768,360,717,359,717,380,742.96,369.71,1,1,20.321,0.5,4.8,2.0,1.1233,2,1,101,452,527,454,3,2,3->2,404,504,2.3
101,478,789,381,789,360,738,360,738,380,763.29,370.21,1,1,20.143,0.39286,4.8,2.0,0.56165,2,1,101,452,527,454,3,2,3->2,404,504,2.4
101,479,808,382,809,361,758,360,757,380,783.43,370.61,1,1,20.357,0.46429,4.8,2.0,1.6845,2,1,101,452,527,454,3,2,3->2,404,504,2.5
101,480,829,382,829,361,779,360,779,381,803.79,371.07,1,1,20.429,0.28571,4.8,2.0,1.1458,2,1,101,452,527,454,3,2,3->2,404,504,2.6
101,481,849,383,850,361,799,361,799,382,824.21,371.36,1,1,20.429,0.35714,4.8,2.0,0.57288,2,1,101,452,527,454,3,2,3->2,404,504,2.7
101,482,869,383,870,362,819,360,818,381,844.64,371.71,1,1,20.536,0.32143,4.8,2.0,2.2457,2,1,101,452,527,454,3,2,3->2,404,504,2.8
101,483,890,383,891,363,840,361,840,382,865.18,372.04,1,1,20.5,0.28571,4.8,2.0,1.6958,2,1,101,452,527,454,3,2,3->2,404,504,2.9
101,484,911,383,911,362,860,361,860,382,885.68,372.32,1,1,20.5,0.17857,4.8,2.0,1.1233,2,1,101,452,527,454,3,2,3->2,404,504,3.0
101,485,932,384,932,363,881,361,881,383,906.18,372.5,1,1,20.643,0.25,4.8,2.0,1.6845,2,1,101,452,527,454,3,2,3->2,404,504,3.1
101,486,952,384,953,363,901,362,901,383,926.82,372.75,1,1,20.464,0.25,4.8,2.0,1.1125,2,1,101,452,527,454,3,2,3->2,404,504,3.2
101,487,973,384,973,363,922,362,922,383,947.29,373.0,1,1,20.571,0.21429,4.8,2.0,1.1233,2,1,101,452,527,454,3,2,3->2,404,504,3.3
101,488,993,384,993,363,943,362,942,383,967.86,373.21,1,1,20.464,0.17857,4.8,2.0,1.1345,2,1,101,452,527,454,3,2,3->2,404,504,3.4
101,489,1014,384,1014,363,963,363,963,383,988.32,373.39,1,1,20.5,0.14286,4.8,2.0,0.56165,2,1,101,452,527,454,3,2,3->2,404,504,3.5
101,490,1034,384,1034,364,983,364,983,384,1008.8,373.54,1,1,20.536,0.21429,4.8,2.0,0.0,2,1,101,452,527,454,3,2,3->2,404,504,3.6
101,491,1055,384,1055,363,1004,363,1004,384,1029.4,373.75,1,1,20.536,0.21429,4.8,2.0,0.0,2,1,101,452,527,454,3,2,3->2,404,504,3.7
101,492,1075,385,1076,364,1024,363,1024,384,1049.9,373.96,1,1,20.429,0.17857,4.8,2.0,1.1125,2,1,101,452,527,454,3,2,3->2,404,504,3.8
101,493,1095,385,1096,364,1045,363,1045,384,1070.3,374.14,1,1,20.5,0.17857,4.8,2.0,1.1345,2,1,101,452,527,454,3,2,3->2,404,504,3.9
101,494,1116,385,1117,364,1066,364,1066,385,1090.8,374.32,1,1,20.5,0.21429,4.8,2.0,0.0,2,1,101,452,527,454,3,2,3->2,404,504,4.0
101,495,1136,385,1136,364,1087,364,1087,385,1111.3,374.54,1,1,20.571,0.17857,4.8,2.0,0.0,2,1,101,452,527,454,3,2,3->2,404,504,4.1
101,496,1156,385,1156,365,1107,364,1107,384,1131.9,374.71,1,1,20.393,0.17857,4.8,2.0,1.1691,2,1,101,452,527,454,3,2,3->2,404,504,4.2
101,497,1176,385,1176,366,1128,365,1128,385,1152.3,374.89,1,1,20.464,0.071429,4.8,2.0,0.59674,2,1,101,452,527,454,3,2,3->2,404,504,4.3
