Vehicle_ID,Event_Index,Start_Frame,End_Frame,Lane_Change_Frame,Max_Displacement,Duration_Frames,Duration_Seconds,From_Lane,To_Lane,Lane_Path
101,1,452,527,454,31.45999999999998,76,7.6,3,2,3->2
1132,1,8643,8711,8656,28.069999999999993,69,6.9,1,2,1->2
1149,1,8823,8890,8845,39.06999999999999,68,6.8,3,2,3->2
1150,1,8825,8903,8843,21.930000000000007,79,7.9,2,1,2->1
1158,1,8943,9008,8986,20.529999999999973,66,6.6,1,2,1->2
1181,1,9120,9186,9166,39.83000000000004,67,6.7,2,3,2->3
1185,1,9166,9245,9207,26.66999999999996,80,8.0,2,3,2->3
1314,1,10031,10102,10099,21.33000000000004,72,7.2,2,1,2->1
1343,1,10245,10312,10254,23.180000000000007,68,6.8,2,3,2->3
1350,1,10338,10417,10353,23.099999999999966,80,8.0,2,3,2->3
1416,1,10873,10938,10882,18.150000000000034,66,6.6,1,2,1->2
1431,1,11050,11121,11055,21.470000000000027,72,7.2,1,2,1->2
1462,1,11318,11391,11376,17.889999999999986,74,7.4,1,2,1->2
1474,1,11519,11590,11537,22.930000000000007,72,7.2,2,3,2->3
1477,1,11532,11609,11600,26.610000000000014,78,7.8,2,3,2->3
1501,1,11739,11818,11786,26.45999999999998,80,8.0,1,2,1->2
1570,1,12178,12257,12216,42.95999999999998,80,8.0,2,1,2->1
1590,1,12317,12392,12388,17.04000000000002,76,7.6,2,1,2->1
1672,1,12972,13046,12988,26.970000000000027,75,7.5,1,2,1->2
1678,1,13022,13090,13063,38.389999999999986,69,6.9,2,1,2->1
1821,1,13980,14059,14003,28.139999999999986,80,8.0,2,3,2->3
1823,1,13997,14070,14014,33.31999999999999,74,7.4,2,1,2->1
1878,1,14461,14540,14511,27.180000000000007,80,8.0,3,2,3->2
1879,1,14468,14545,14492,39.360000000000014,78,7.8,3,2,3->2
1928,1,14917,14985,14971,20.110000000000014,69,6.9,1,2,1->2
2076,1,16022,16088,16031,29.819999999999993,67,6.7,2,1,2->1
2083,1,16062,16139,16082,31.470000000000027,78,7.8,3,2,3->2
2121,1,16401,16463,16414,25.860000000000014,63,6.3,1,2,1->2
2122,1,16404,16472,16443,45.400000000000034,69,6.9,3,2,3->2
2125,1,16451,16524,16524,20.639999999999986,74,7.4,2,1,2->1
2130,1,16515,16594,16568,18.20999999999998,80,8.0,1,2,1->2
2146,1,16707,16786,16754,25.79000000000002,80,8.0,1,2,1->2
215,1,1255,1331,1263,26.16999999999996,77,7.7,2,1,2->1
2156,1,16793,16867,16848,24.95999999999998,75,7.5,1,2,1->2
2183,1,17089,17158,17140,31.639999999999986,70,7.0,2,1,2->1
388,1,2495,2566,2535,38.31999999999999,72,7.2,1,2,1->2
392,1,2535,2598,2587,30.0,64,6.4,1,2,1->2
433,1,2900,2975,2972,17.279999999999973,76,7.6,2,1,2->1
620,1,4114,4193,4161,24.04000000000002,80,8.0,2,3,2->3
666,1,4551,4611,4609,19.25,61,6.1,2,3,2->3
673,1,4644,4714,4660,24.91999999999996,71,7.1,2,3,2->3
716,1,5135,5206,5164,26.110000000000014,72,7.2,1,2,1->2
734,1,5372,5437,5436,15.220000000000027,66,6.6,2,1,2->1
743,1,5455,5527,5518,26.430000000000007,73,7.3,1,2,1->2
748,1,5478,5557,5529,34.639999999999986,80,8.0,2,1,2->1
777,1,5734,5807,5778,38.93000000000001,74,7.4,2,1,2->1
795,1,5850,5919,5881,36.18000000000001,70,7.0,3,2,3->2
796,1,5869,5938,5903,34.400000000000034,70,7.0,2,1,2->1
808,1,5989,6052,5992,19.639999999999986,64,6.4,2,1,2->1
927,1,7066,7134,7115,18.389999999999986,69,6.9,1,2,1->2
935,1,7147,7217,7207,15.0,71,7.1,2,1,2->1
95,1,418,491,476,27.610000000000014,74,7.4,2,1,2->1
